,Prediction Date,Best Predicted High,Best Predicted Low,Mean Predicted High,Mean Predicted Low,Actual High,Actual Low,dnn_lstm_low,cnn_lstm_low,gru_lstm_low,dnn_lstm_high,cnn_lstm_high,gnn_lstm_high
0,2023-09-26,243.52429796893819,247.37282215991556,246.0313001426639,249.9978134198759,249.5500030517578,241.66000366210932,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
1,2023-09-27,242.94881604346398,246.97352179332165,247.89401335418793,251.83793296231693,245.3300018310547,234.5800018310547,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
2,2023-09-28,241.19791396549536,245.0906043788918,242.1063913703233,245.97582907571908,247.5500030517578,238.6499938964844,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
3,2023-09-29,241.02721129335706,244.96899181648394,240.27497123967814,244.2236829368106,254.7700042724609,246.3500061035156,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
4,2023-10-02,248.18218753779072,252.1029506753713,249.33640998053298,253.1757916063905,254.27999877929688,242.6199951171875,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
5,2023-10-03,245.5750499142658,249.62866681518727,247.17672165734788,251.1288314287601,250.0200042724609,244.4499969482422,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
6,2023-10-04,245.7132983611847,249.47689734165613,242.95469323255693,246.80567949866006,261.8599853515625,247.6000061035156,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
7,2023-10-05,252.586114121854,256.53630240201556,251.29908920793105,255.4079809110041,263.6000061035156,256.25,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
8,2023-10-06,256.3837137760109,260.0521074333663,257.89592280057326,261.8789152315176,261.6499938964844,250.6499938964844,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
9,2023-10-09,254.3930329827076,258.2607802992887,252.19228704532347,256.1051784006965,261.3599853515625,252.0500030517578,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
10,2023-10-10,251.99432076830965,255.77459475715364,250.72495713282783,254.57255637228536,268.94000244140625,257.6499938964844,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
11,2023-10-11,262.49825892007084,266.3937695061044,261.6524335233601,265.66555851800535,268.6000061035156,260.8999938964844,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
12,2023-10-12,263.1198903105486,267.04863127154266,265.8326896600495,269.79754504527983,265.4100036621094,256.6300048828125,329.8128750599849,331.7414828113324,333.68873632449686,336.14330850257494,336.9053562629759,339.28607055932395
